Year,Josh's IRA,Amy's IRA,CashNeeded,sdfadsfTotalRMD,sdfadsfAfterTaxRMD,BeforeTaxPortValue,AfterTaxPortValue,sdfadsf's Age,asdfasdf's Age,asdfasdfTotalRMD,asdfasdfAfterTaxRMD
1945,741484.4997143749,252973.2346059724,3864.060992606987,0,0.0,994457.7343203473,991928.0019742876,21,21,0.0,0.0
1946,688977.356388453,245947.83502380323,3922.0219074960914,0,0.0,934925.1914122563,932465.7130620183,22,22,0.0,0.0
1947,734804.1789206526,261039.19154709924,3980.8522361085325,0,0.0,995843.3704677519,993232.9785522808,23,23,0.0,0.0
1948,786688.0171191298,278373.6744536993,4040.5650196501606,0,0.0,1065061.6915728291,1062277.9548282921,24,24,0.0,0.0
1949,940651.9242519306,323247.8251118011,4101.173494944913,0,0.0,1263899.7493637316,1260667.2711126136,25,25,0.0,0.0
1950,1240466.7821139505,398632.33452465344,4162.691097369086,0,0.0,1639099.1166386039,1635112.7932933574,26,26,0.0,0.0
1951,1544209.3161185342,469532.3123901327,4225.131463829622,0,0.0,2013741.628508667,2009046.3053847656,27,27,0.0,0.0
1952,1834483.3069940482,537493.0806903568,4288.5084357870655,0,0.0,2371976.387684405,2366601.4568775017,28,28,0.0,0.0
1953,1822286.0589794202,544651.9889172198,4352.8360623238705,0,0.0,2366938.04789664,2361491.5280074677,29,29,0.0,0.0
1954,2790079.6115790037,755377.4115267646,4418.128603258729,0,0.0,3545457.0231057685,3537903.248990501,30,30,0.0,0.0
1955,3709645.5649537593,929603.6875750908,4484.400532307609,0,0.0,4639249.25252885,4629953.215653099,31,31,0.0,0.0
1956,3995643.194986319,976523.789073482,4551.666540292223,0,0.0,4972166.984059801,4962401.746169066,32,32,0.0,0.0
1957,3587698.91679075,929674.9928026291,4619.941538396606,0,0.0,4517373.909593379,4508077.159665353,33,33,0.0,0.0
1958,5166240.883211666,1212987.9332673175,4689.240661472554,0,0.0,6379228.8164789835,6367098.93714631,34,34,0.0,0.0
1959,5799289.533726993,1310317.0610181282,4759.579271394642,0,0.0,7109606.594745121,7096503.42413494,35,35,0.0,0.0
1960,5829007.118141665,1363682.4069953714,4830.972960465561,0,0.0,7192689.525137037,7179052.701067083,36,36,0.0,0.0
1961,7391854.614414604,1630817.3369223855,4903.437554872545,0,0.0,9022671.95133699,9006363.777967766,37,37,0.0,0.0
1962,6750632.222884677,1562406.8792518622,4976.989118195632,0,0.0,8313039.102136539,8297415.033344021,38,38,0.0,0.0
1963,8286950.168478902,1821802.4021920422,5051.6439549685665,0,0.0,10108752.570670944,10090534.546649024,39,39,0.0,0.0
1964,9657667.386143139,2055738.7775024264,5127.418614293094,0,0.0,11713406.163645566,11692848.775870541,40,40,0.0,0.0
1965,10865218.14202489,2242682.0240457724,5204.32989350749,0,0.0,13107900.166070662,13085473.345830204,41,41,0.0,0.0
1966,9791955.893265007,2109719.555427719,5282.394841910102,0,0.0,11901675.448692726,11880578.253138449,42,42,0.0,0.0
1967,12132441.395862078,2455084.0938759833,5361.630764538753,0,0.0,14587525.489738062,14562974.648799302,43,43,0.0,0.0
1968,13453958.31075477,2668738.293395337,5442.055226006833,0,0.0,16122696.604150107,16096009.221216153,44,44,0.0,0.0
1969,12355352.145948578,2478394.8474250194,5523.686054396935,0,0.0,14833746.993373597,14808963.044899346,45,45,0.0,0.0
1970,12805202.682344347,2668301.8111785525,5606.541345212889,0,0.0,15473504.4935229,15446821.475411113,46,46,0.0,0.0
1971,14636102.503773712,3015782.711076263,5690.639465391082,0,0.0,17651885.214849975,17621727.38773921,47,47,0.0,0.0
1972,17391835.33348166,3440741.583550466,5775.999057371948,0,0.0,20832576.917032123,20798169.50119662,48,48,0.0,0.0
1973,14913063.697260432,3137175.798310363,5862.639043232526,0,0.0,18050239.495570794,18018867.73758769,49,49,0.0,0.0
